"Label","Area","Mean","StdDev","Mode","Min","Max","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","X.Area","RawIntDen","Ch","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","Counter","Count","File_ID","Channel","X.Pixel","Y.Pixel","X.Pixel.Centered","Y.Pixel.Centered","X.Scaled","Y.Scaled"
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,143,0,143,143,143,822,823.333312988,822.5,823.5,0,822,824,1,1,1.128379167,1.128379167,0,0,0,143,143,NA,NA,100,143,1,822,675,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",822,823.333312988,70.5,75.833312988,0.575510204081633,0.785837440290155
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,145,0,145,145,145,820,825.666687012,820.5,825.5,0,820,826,1,1,1.128379167,1.128379167,0,0,0,145,145,NA,NA,100,145,1,820,673,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",820,825.666687012,68.5,78.166687012,0.559183673469388,0.810017481989637
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,105,0,105,105,105,817,828,817.5,827.5,0,817,828,1,1,1.128379167,1.128379167,0,0,0,105,105,NA,NA,100,105,1,817,671,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",817,828,65.5,80.5,0.53469387755102,0.83419689119171
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,206,0,206,206,206,815.333312988,829.333312988,815.5,829.5,0,815,830,1,1,1.128379167,1.128379167,0,0,0,206,206,NA,NA,100,206,1,815,669,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",815.333312988,829.333312988,63.833312988,81.833312988,0.521088269289796,0.848013606093264
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,129,0,129,129,129,813,830.333312988,813.5,830.5,0,813,831,1,1,1.128379167,1.128379167,0,0,0,129,129,NA,NA,100,129,1,813,668,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",813,830.333312988,61.5,82.833312988,0.502040816326531,0.858376300393782
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,163,0,163,163,163,809.333312988,832,809.5,831.5,0,809,832,1,1,1.128379167,1.128379167,0,0,0,163,163,NA,NA,100,163,1,809,667,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",809.333312988,832,57.833312988,84.5,0.472108677453061,0.875647668393782
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,218,0,218,218,218,808.333312988,832,808.5,831.5,0,808,832,1,1,1.128379167,1.128379167,0,0,0,218,218,NA,NA,100,218,1,808,667,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",808.333312988,832,56.833312988,84.5,0.463945412146939,0.875647668393782
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,254,0,254,254,254,804.666687012,832,804.5,831.5,0,804,832,1,1,1.128379167,1.128379167,0,0,0,254,254,NA,NA,100,254,1,804,667,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",804.666687012,832,53.166687012,84.5,0.434013771526531,0.875647668393782
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,234,0,234,234,234,800,832.666687012,800.5,832.5,0,800,833,1,1,1.128379167,1.128379167,0,0,0,234,234,NA,NA,100,234,1,800,666,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",800,832.666687012,48.5,85.166687012,0.395918367346939,0.882556342093264
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,212,0,212,212,212,799.333312988,832.666687012,799.5,832.5,0,799,833,1,1,1.128379167,1.128379167,0,0,0,212,212,NA,NA,100,212,1,799,666,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",799.333312988,832.666687012,47.833312988,85.166687012,0.390476024391837,0.882556342093264
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,186,0,186,186,186,797.333312988,832,797.5,831.5,0,797,832,1,1,1.128379167,1.128379167,0,0,0,186,186,NA,NA,100,186,1,797,667,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",797.333312988,832,45.833312988,84.5,0.374149493779592,0.875647668393782
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,121,0,121,121,121,791.666687012,831,791.5,830.5,0,791,831,1,1,1.128379167,1.128379167,0,0,0,121,121,NA,NA,100,121,1,791,668,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",791.666687012,831,40.166687012,83.5,0.327891322546939,0.865284974093264
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,206,0,206,206,206,791.666687012,829.333312988,791.5,829.5,0,791,830,1,1,1.128379167,1.128379167,0,0,0,206,206,NA,NA,100,206,1,791,669,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",791.666687012,829.333312988,40.166687012,81.833312988,0.327891322546939,0.848013606093264
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,54,0,54,54,54,790.666687012,828.333312988,790.5,828.5,0,790,829,1,1,1.128379167,1.128379167,0,0,0,54,54,NA,NA,100,54,1,790,670,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",790.666687012,828.333312988,39.166687012,80.833312988,0.319728057240816,0.837650911792746
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,209,0,209,209,209,787.666687012,825.666687012,787.5,825.5,0,787,826,1,1,1.128379167,1.128379167,0,0,0,209,209,NA,NA,100,209,1,787,673,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",787.666687012,825.666687012,36.166687012,78.166687012,0.295238261322449,0.810017481989637
